pokemon,ラプラスV,3
pokemon,ラプラスVMAX,3
pokemon,グレイシアＶ,2
pokemon,グレイシアVSTAR,2
pokemon,ユキハミ,2
pokemon,モスノウ,2
pokemon,マナフィ,1
pokemon,ネオラントV,1
support,メロン,3
support,マリィ,3
support,ボスの指令,3
support,博士の研究,3
goods,レベルボール,3
goods,ハイパーボール,2
goods,クイックボール,2
goods,スーパーボール,1
goods,たっぷりバケツ,4
goods,エネルギー転送,2
goods,ポケモン入れ替え,4
stadium,崩れたスタジアム,2
energy,基本水E,12
